DATE,SID.TIME,SUN,SUN_P,MOON,MOON_P,MERCURY,MERCURY_P,VENUS,VENUS_P,MARS,MARS_P,JUPITER,JUPITER_P,SATURN,SATURN_P,URANUS,URANUS_P,NEPTUNE,NEPTUNE_P,PLUTO,PLUTO_P,NODE,NODE_P
03/05/2019,10:49:50,14 07,Meena,25 58,Kumbha,29 36,Meena,03 55,Kumbha,12 29,Vrushabha,22 19,Dhanush,18 05,Makara,29 56,Mesha,16 05,Meena,22 32,Makara,24 14,CN
03/06/2019,10:53:46,15 07,Meena,07 48,Meena,29 39,Meena,05 06,Kumbha,13 10,Vrushabha,22 25,Dhanush,18 10,Makara,29 59,Mesha,16 08,Meena,22 33,Makara,24 11,CN
03/07/2019,10:57:43,16 07,Meena,19 44,Meena,29 32,Meena,06 17,Kumbha,13 50,Vrushabha,22 32,Dhanush,18 14,Makara,00 02,Vrushabha,16 10,Meena,22 35,Makara,24 07,CN
03/08/2019,11:01:39,17 07,Meena,01 47,Mesha,29 16,Meena,07 29,Kumbha,14 30,Vrushabha,22 38,Dhanush,18 19,Makara,00 04,Vrushabha,16 12,Meena,22 36,Makara,24 04,CN
03/09/2019,11:05:36,18 07,Meena,13 57,Mesha,28 52,Meena,08 40,Kumbha,15 10,Vrushabha,22 43,Dhanush,18 24,Makara,00 07,Vrushabha,16 14,Meena,22 37,Makara,24 01,CN
03/10/2019,11:09:32,19 07,Meena,26 17,Mesha,28 20,Meena,09 52,Kumbha,15 51,Vrushabha,22 49,Dhanush,18 29,Makara,00 10,Vrushabha,16 17,Meena,22 39,Makara,23 58,CN
03/11/2019,11:13:29,20 07,Meena,08 47,Vrushabha,27 41,Meena,11 03,Kumbha,16 31,Vrushabha,22 55,Dhanush,18 33,Makara,00 13,Vrushabha,16 19,Meena,22 40,Makara,23 55,CN
03/12/2019,11:17:25,21 07,Meena,21 30,Vrushabha,26 56,Meena,12 15,Kumbha,17 11,Vrushabha,23 00,Dhanush,18 38,Makara,00 15,Vrushabha,16 21,Meena,22 41,Makara,23 52,CN
03/13/2019,11:21:22,22 07,Meena,04 27,Mithuna,26 06,Meena,13 26,Kumbha,17 51,Vrushabha,23 05,Dhanush,18 42,Makara,00 18,Vrushabha,16 24,Meena,22 42,Makara,23 48,CN
03/14/2019,11:25:19,23 07,Meena,17 41,Mithuna,25 12,Meena,14 38,Kumbha,18 31,Vrushabha,23 10,Dhanush,18 46,Makara,00 21,Vrushabha,16 26,Meena,22 44,Makara,23 45,CN
03/15/2019,11:29:15,24 07,Meena,01 14,Karaka,24 16,Meena,15 50,Kumbha,19 11,Vrushabha,23 15,Dhanush,18 51,Makara,00 24,Vrushabha,16 28,Meena,22 45,Makara,23 42,CN
03/16/2019,11:33:12,25 07,Meena,15 09,Karaka,23 18,Meena,17 01,Kumbha,19 51,Vrushabha,23 20,Dhanush,18 55,Makara,00 27,Vrushabha,16 30,Meena,22 46,Makara,23 39,CN
03/17/2019,11:37:08,26 06,Meena,29 25,Karaka,22 21,Meena,18 13,Kumbha,20 31,Vrushabha,23 25,Dhanush,18 59,Makara,00 30,Vrushabha,16 33,Meena,22 47,Makara,23 36,CN
03/18/2019,11:41:05,27 06,Meena,14 02,Simha,21 25,Meena,19 25,Kumbha,21 11,Vrushabha,23 29,Dhanush,19 03,Makara,00 33,Vrushabha,16 35,Meena,22 48,Makara,23 33,CN
03/19/2019,11:45:01,28 06,Meena,28 56,Simha,20 31,Meena,20 37,Kumbha,21 51,Vrushabha,23 33,Dhanush,19 07,Makara,00 36,Vrushabha,16 37,Meena,22 49,Makara,23 29,CN
03/20/2019,11:48:58,29 05,Meena,13 60,Kanya,19 41,Meena,21 49,Kumbha,22 31,Vrushabha,23 37,Dhanush,19 11,Makara,00 39,Vrushabha,16 39,Meena,22 50,Makara,23 26,CN
03/21/2019,11:52:54,00 05,Mesha,29 04,Kanya,18 55,Meena,23 01,Kumbha,23 11,Vrushabha,23 41,Dhanush,19 14,Makara,00 42,Vrushabha,16 42,Meena,22 51,Makara,23 23,CN
03/22/2019,11:56:51,01 05,Mesha,13 60,Tula,18 14,Meena,24 12,Kumbha,23 51,Vrushabha,23 45,Dhanush,19 18,Makara,00 45,Vrushabha,16 44,Meena,22 52,Makara,23 20,CN
03/23/2019,12:00:48,02 04,Mesha,28 37,Tula,17 38,Meena,25 24,Kumbha,24 31,Vrushabha,23 48,Dhanush,19 22,Makara,00 48,Vrushabha,16 46,Meena,22 53,Makara,23 17,CN
03/24/2019,12:04:44,03 04,Mesha,12 50,Vruschika,17 08,Meena,26 36,Kumbha,25 11,Vrushabha,23 52,Dhanush,19 25,Makara,00 51,Vrushabha,16 48,Meena,22 54,Makara,23 13,CN
03/25/2019,12:08:41,04 03,Mesha,26 34,Vruschika,16 44,Meena,27 49,Kumbha,25 51,Vrushabha,23 55,Dhanush,19 29,Makara,00 55,Vrushabha,16 50,Meena,22 55,Makara,23 10,CN
03/26/2019,12:12:37,05 03,Mesha,09 50,Dhanush,16 25,Meena,29 01,Kumbha,26 31,Vrushabha,23 58,Dhanush,19 32,Makara,00 58,Vrushabha,16 53,Meena,22 56,Makara,23 07,CN
03/27/2019,12:16:34,06 02,Mesha,22 38,Dhanush,16 13,Meena,00 13,Meena,27 11,Vrushabha,24 01,Dhanush,19 35,Makara,01 01,Vrushabha,16 55,Meena,22 57,Makara,23 04,CN
03/28/2019,12:20:30,07 01,Mesha,05 04,Makara,16 07,Meena,01 25,Meena,27 50,Vrushabha,24 03,Dhanush,19 38,Makara,01 04,Vrushabha,16 57,Meena,22 58,Makara,23 01,CN
03/29/2019,12:24:27,08 01,Mesha,17 12,Makara,16 06,Meena,02 37,Meena,28 30,Vrushabha,24 06,Dhanush,19 41,Makara,01 07,Vrushabha,16 59,Meena,22 58,Makara,22 58,CN
03/30/2019,12:28:23,09 00,Mesha,29 07,Makara,16 11,Meena,03 49,Meena,29 10,Vrushabha,24 08,Dhanush,19 44,Makara,01 11,Vrushabha,17 01,Meena,22 59,Makara,22 54,CN
03/31/2019,12:32:20,09 59,Mesha,10 56,Kumbha,16 22,Meena,05 02,Meena,29 50,Vrushabha,24 10,Dhanush,19 47,Makara,01 14,Vrushabha,17 03,Meena,23 00,Makara,22 51,CN
04/01/2019,12:36:17,10 59,Mesha,22 43,Kumbha,16 38,Meena,06 14,Meena,00 29,Mithuna,24 12,Dhanush,19 50,Makara,01 17,Vrushabha,17 06,Meena,23 01,Makara,22 48,CN
04/02/2019,12:40:13,11 58,Mesha,04 32,Meena,16 59,Meena,07 26,Meena,01 09,Mithuna,24 14,Dhanush,19 53,Makara,01 20,Vrushabha,17 08,Meena,23 01,Makara,22 45,CN
04/03/2019,12:44:10,12 57,Mesha,16 27,Meena,17 24,Meena,08 39,Meena,01 49,Mithuna,24 15,Dhanush,19 56,Makara,01 24,Vrushabha,17 10,Meena,23 02,Makara,22 42,CN
04/04/2019,12:48:06,13 56,Mesha,28 30,Meena,17 54,Meena,09 51,Meena,02 28,Mithuna,24 17,Dhanush,19 58,Makara,01 27,Vrushabha,17 12,Meena,23 03,Makara,22 38,CN
04/05/2019,12:52:03,14 55,Mesha,10 44,Mesha,18 28,Meena,11 03,Meena,03 08,Mithuna,24 18,Dhanush,20 01,Makara,01 30,Vrushabha,17 14,Meena,23 03,Makara,22 35,CN
04/06/2019,12:55:59,15 54,Mesha,23 08,Mesha,19 07,Meena,12 16,Meena,03 48,Mithuna,24 19,Dhanush,20 03,Makara,01 34,Vrushabha,17 16,Meena,23 04,Makara,22 32,CN
04/07/2019,12:59:56,16 54,Mesha,05 44,Vrushabha,19 49,Meena,13 28,Meena,04 27,Mithuna,24 20,Dhanush,20 05,Makara,01 37,Vrushabha,17 18,Meena,23 04,Makara,22 29,CN
04/08/2019,13:03:52,17 53,Mesha,18 31,Vrushabha,20 34,Meena,14 41,Meena,05 07,Mithuna,24 20,Dhanush,20 07,Makara,01 40,Vrushabha,17 20,Meena,23 05,Makara,22 26,CN
04/09/2019,13:07:49,18 52,Mesha,01 29,Mithuna,21 24,Meena,15 53,Meena,05 46,Mithuna,24 21,Dhanush,20 10,Makara,01 44,Vrushabha,17 22,Meena,23 05,Makara,22 23,CN
